 ,transaction_id,date,keyword,amount_cad,direction,transaction_type,merchant_or_source,description,account,scope,status,mixed_halal_pct,haram_portion_disposed,cost_basis_cad,related_reference,missing_information,parse_line
Faris Mahmood,FMR000385,2025-08-17,freelance_income,$431.44,inflow,income,Freelance Client,,FM_CHQ_PERSONAL,personal,posted,,,,,,2025-08-17 | freelance_income | 431.44 | inflow | income | Freelance Client | Freelance professional work payment
Faris Mahmood,FMR000478,2025-08-17,business_supplies,$182.54,outflow,expense,Office Supplier,Business supplies purchase,FM_CHQ_BUSINESS,business,posted,,,,,,2025-08-17 | business_supplies | 182.54 | outflow | expense | Office Supplier | Business supplies purchase
Faris Mahmood,FMR000207,2025-08-18,business_advertising,$243.74,outflow,expense,Ad Platform,Business advertising expense,FM_CHQ_BUSINESS,business,posted,,,,,,2025-08-18 | business_advertising | 243.74 | outflow | expense | Ad Platform | Business advertising expense
Faris Mahmood,FMR000557,2025-08-19,transportation,$102.42,outflow,expense,Transit / Fuel,Transportation expense,FM_VISA_PERSONAL,personal,posted,,,,,,2025-08-19 | transportation | 102.42 | outflow | expense | Transit / Fuel | Transportation expense
Faris Mahmood,FMR000159,2025-08-21,rental_income,$600.90,inflow,income,Tenant,Residential rent payment,FM_CHQ_PERSONAL,personal,posted,,,,,,2025-08-21 | rental_income | 600.90 | inflow | income | Tenant | Residential rent payment
Faris Mahmood,FMR000410,2025-08-21,electricity_bill,$161.50,outflow,expense,Electric Utility,Monthly electricity bill,FM_VISA_PERSONAL,personal,posted,,,,,,2025-08-21 | electricity_bill | 161.50 | outflow | expense | Electric Utility | Monthly electricity bill
Faris Mahmood,FMR000584,2025-08-21,phone_bill,$119.54,outflow,expense,Mobile Provider,Monthly phone bill,FM_VISA_PERSONAL,personal,posted,,,,,,2025-08-21 | phone_bill | 119.54 | outflow | expense | Mobile Provider | Monthly phone bill
Faris Mahmood,FMR000076,2025-08-22,restaurant_meal,$48.29,outflow,expense,Local Restaurant,Restaurant meal,FM_VISA_PERSONAL,personal,posted,,,,,,2025-08-22 | restaurant_meal | 48.29 | outflow | expense | Local Restaurant | Restaurant meal
Faris Mahmood,FMR000487,2025-08-22,business_advertising,$23.54,outflow,expense,Ad Platform,Business advertising expense,FM_CHQ_BUSINESS,business,posted,,,,,,2025-08-22 | business_advertising | 23.54 | outflow | expense | Ad Platform | Business advertising expense
Faris Mahmood,FMR000303,2025-08-24,business_advertising,$212.60,outflow,expense,Ad Platform,Business advertising expense,FM_CHQ_BUSINESS,business,posted,,,,,,2025-08-24 | business_advertising | 212.60 | outflow | expense | Ad Platform | Business advertising expense
Faris Mahmood,FMR000481,2025-08-24,restaurant_meal,$60.11,outflow,expense,Local Restaurant,Restaurant meal,FM_VISA_PERSONAL,personal,posted,,,,,,2025-08-24 | restaurant_meal | 60.11 | outflow | expense | Local Restaurant | Restaurant meal
